3,-8,-12,1,8,-9,78,175,151,40,5,-19
-23,-47,-19,35,1,-30,68,145,78,-18,-28,-41
-48,-83,-26,64,-4,-51,60,114,7,-85,-65,-62
-68,-113,-34,89,-9,-68,53,86,-61,-148,-101,-82
-79,-132,-40,106,-13,-82,47,65,-76,-183,-124,-97
-87,-143,-45,114,-16,-92,43,50,-96,-155,-138,-108
-91,-149,-49,119,-18,-98,41,40,-106,-162,-143,-115
-94,-152,-52,120,-19,-101,38,34,-113,-169,-146,-120
-97,-155,-54,124,-20,-104,37,29,-118,-174,-147,-123
-99,-157,-56,128,-21,-106,36,24,-124,-179,-152,-125
-100,-159,-56,129,-21,-107,36,21,-128,-182,-154,-127
-101,-159,-57,130,-21,-109,35,19,-130,-182,-155,-128
-100,-159,-57,129,-21,-108,34,19,-131,-182,-155,-129
-99,-158,-56,128,-20,-107,34,19,-130,-181,-154,-128
-97,-155,-55,125,-20,-105,35,21,-128,-178,-151,-127
-93,-150,-53,121,-19,-100,36,24,-123,-172,-146,-124
-87,-140,-50,113,-17,-93,37,29,-114,-164,-138,-119
-79,-127,-45,102,-16,-85,40,37,-103,-153,-127,-112
-70,-114,-41,91,-13,-77,43,44,-92,-142,-116,-104
-60,-99,-37,79,-10,-68,46,53,-80,-130,-104,-94
-47,-80,-33,63,-7,-57,50,63,-64,-116,-89,-84
-33,-56,-29,45,-4,-44,53,76,-46,-99,-72,-72
-20,-36,-25,28,-2,-34,57,86,-28,-83,-57,-59
-14,-27,-23,21,1,-29,59,91,-18,-74,-48,-51
-15,-33,-24,24,0,-32,59,90,-18,-73,-46,-50
-22,-44,-26,33,0,-37,58,84,-26,-80,-53,-54
-30,-57,-28,43,-1,-44,56,77,-36,-89,-61,-60
-38,-69,-31,53,-4,-51,54,71,-46,-97,-70,-67
-49,-85,-35,66,-6,-60,51,62,-56,-107,-80,-74
-61,-102,-38,81,-9,-70,46,51,-70,-120,-93,-85
-72,-120,-43,95,-13,-80,43,42,-86,-135,-108,-96
-82,-133,-46,106,-16,-88,40,34,-101,-148,-123,-106
-89,-142,-49,115,-18,-94,37,28,-112,-159,-135,-114
-95,-149,-50,122,-21,-99,35,22,-122,-168,-144,-120
-101,-156,-52,128,-24,-104,34,18,-131,-175,-153,-127
-108,-162,-53,134,-27,-107,35,15,-142,-183,-161,-135
-113,-168,-54,140,-30,-111,37,12,-150,-193,-169,-142
-119,-176,-53,147,-33,-114,42,9,-152,-187,-181,-151
-128,-190,-52,157,-36,-119,50,6,-161,-204,-189,-170
-140,-195,-50,173,-40,-127,61,7,-175,-225,-192,-178
-154,-211,-47,181,-43,-134,74,16,-194,-244,-210,-203
-166,-225,-42,197,-45,-137,91,38,-180,-274,-236,-221
-167,-228,-32,204,-46,-134,110,73,-130,-263,-266,-234
-156,-216,-20,191,-44,-122,130,113,-46,-181,-259,-221
-129,-179,1,151,-40,-86,154,158,74,-118,-193,-165
-81,-101,29,84,-33,-30,184,204,212,-17,-124,-92
-22,6,63,5,-24,40,198,237,385,195,-17,-8
48,107,101,-80,-13,114,217,316,544,390,173,103
126,200,142,-170,-1,186,235,406,631,513,324,226
201,320,189,-265,11,264,247,443,741,636,406,332
269,472,239,-359,24,356,244,468,898,850,571,431
340,591,286,-458,36,429,219,498,1015,1043,748,540
419,704,326,-557,47,500,157,476,1039,1098,873,656
484,821,332,-648,55,585,53,336,942,1127,957,722
515,875,311,-694,60,609,-58,155,776,1076,964,758
492,835,286,-662,62,565,-152,23,546,851,898,761
433,736,251,-579,61,485,-245,-161,219,638,770,663
370,620,210,-482,59,394,-362,-382,-63,518,612,564
298,495,165,-387,53,309,-465,-560,-249,345,495,482
220,367,117,-290,46,229,-542,-786,-478,139,402,372
148,258,70,-197,38,143,-644,-1040,-770,-44,256,255
80,137,27,-97,29,50,-757,-1188,-1004,-191,32,143
19,2,-10,-1,20,-27,-749,-1210,-1071,-326,-111,16
-32,-113,-39,82,10,-88,-635,-1140,-982,-467,-182,-96
-73,-193,-57,138,2,-120,-486,-968,-813,-545,-252,-153
-100,-230,-65,155,-5,-132,-353,-791,-655,-501,-250,-149
-111,-213,-68,160,-11,-132,-244,-624,-531,-417,-219,-144
